edad_piloto,experiencia_piloto,peso_piloto,altura_piloto,presupuesto_equipo_millones,potencia_motor_hp,peso_coche_kg,downforce_kg,eficiencia_combustible,temperatura_pista_c,tipo_neumaticos,condiciones_climaticas,tiempo_vuelta_segundos,puntos_carrera,termino_podio,posicion_final,desgaste_neumaticos_vuelta,imc_piloto,relacion_potencia_peso,experiencia_edad_ratio,tipo_neumaticos_soft,tipo_neumaticos_medium,tipo_neumaticos_hard,condiciones_lluvia
30,9,68.8,184.8,149.18,965.0,632.6,209.7,1.056,21,Hard,Soleado,66.353,14.2,1,1.0,0.7232,20.1,1.525,0.3,0,0,1,0
24,15,72.9,164.6,100.28,715.0,782.7,412.1,0.727,17,Intermediate,Soleado,73.372,15.7,1,1.0,0.7119,26.9,0.914,0.625,0,0,0,0
33,8,64.4,174.4,157.41,1027.0,783.3,312.8,0.966,28,Hard,Soleado,70.918,14.3,1,1.0,0.7732,21.2,1.311,0.242,0,0,1,0
33,6,73.7,183.5,74.37,853.0,757.3,347.9,0.804,43,Soft,Lluvia ligera,70.236,12.7,1,4.0,0.7738,21.9,1.126,0.182,1,0,0,1
37,5,71.6,175.1,207.97,982.0,757.2,393.0,0.502,34,Soft,Soleado,59.822,12.6,1,1.0,0.7329,23.4,1.297,0.135,1,0,0,0
18,11,69.6,184.6,106.79,867.0,789.5,371.1,0.814,23,Soft,Lluvia ligera,67.897,8.7,1,1.0,0.7254,20.4,1.098,0.611,1,0,0,1
27,1,67.8,189.0,128.72,625.0,716.7,279.7,0.584,30,Soft,Nublado,82.231,3.3,1,7.0,0.7285,19.0,0.872,0.037,1,0,0,0
18,5,72.0,172.7,173.46,860.0,717.2,279.0,0.585,43,Medium,Soleado,76.008,10.0,1,1.0,0.7155,24.1,1.199,0.278,0,1,0,0
34,10,74.3,158.9,217.41,790.0,778.0,313.5,0.761,35,Soft,Lluvia ligera,75.451,10.3,1,1.0,0.8362,29.4,1.015,0.294,1,0,0,1
26,5,70.6,166.6,249.76,598.0,825.4,169.8,0.685,28,Soft,Nublado,105.993,14.0,1,1.0,0.9253,25.4,0.724,0.192,1,0,0,0
24,16,74.2,170.6,131.89,892.0,775.2,331.9,0.867,18,Intermediate,Lluvia intensa,67.93,16.3,1,1.0,0.7885,25.5,1.151,0.667,0,0,0,1
31,12,62.8,187.6,215.86,779.0,711.9,407.3,0.668,29,Medium,Nublado,66.922,15.1,1,1.0,0.6769,17.8,1.094,0.387,0,1,0,0
34,8,65.7,176.7,180.25,874.0,783.4,246.6,1.114,39,Hard,Soleado,80.104,16.9,1,1.0,0.8367,21.0,1.116,0.235,0,0,1,0
31,11,72.0,169.0,129.71,829.0,699.7,327.5,0.797,15,Intermediate,Soleado,69.133,16.4,1,1.0,0.6249,25.2,1.185,0.355,0,0,0,0
33,18,65.2,169.6,97.3,723.0,671.0,332.3,0.999,34,Medium,Nublado,66.627,14.7,1,1.0,0.6668,22.7,1.077,0.545,0,1,0,0
40,7,71.8,197.9,138.31,904.0,781.0,314.8,0.783,36,Soft,Lluvia intensa,70.777,8.1,1,1.0,0.7642,18.3,1.157,0.175,1,0,0,1
37,2,64.7,185.5,24.13,952.0,828.6,279.0,0.785,16,Hard,Nublado,76.347,14.4,1,9.0,0.8048,18.8,1.149,0.054,0,0,1,0
18,4,75.0,183.5,114.4,617.0,726.0,463.9,1.083,28,Medium,Soleado,68.373,6.0,1,3.0,0.6315,22.3,0.85,0.222,0,1,0,0
37,16,66.8,173.9,166.88,876.0,785.6,236.0,0.888,34,Medium,Nublado,78.258,14.4,1,1.0,0.7951,22.1,1.115,0.432,0,1,0,0
32,17,74.7,170.7,131.07,969.0,755.2,432.3,0.726,37,Soft,Lluvia ligera,54.767,13.2,1,1.0,0.7054,25.6,1.283,0.531,1,0,0,1
25,10,63.2,171.6,108.94,884.0,754.1,503.6,0.813,22,Medium,Nublado,50.05,10.8,1,1.0,0.6436,21.5,1.172,0.4,0,1,0,0
20,9,63.2,173.8,68.82,944.0,955.1,347.6,0.755,33,Medium,Soleado,76.592,17.5,1,1.0,0.9874,20.9,0.988,0.45,0,1,0,0
21,15,71.0,167.8,131.64,907.0,837.1,272.6,0.744,31,Intermediate,Lluvia intensa,81.202,17.4,1,1.0,0.8518,25.2,1.084,0.714,0,0,0,1
33,1,71.4,167.1,133.04,894.0,740.3,201.2,0.938,39,Soft,Lluvia ligera,80.603,12.3,0,9.0,0.8519,25.6,1.208,0.03,1,0,0,1
33,13,69.4,169.8,96.87,713.0,830.5,509.0,0.685,40,Hard,Soleado,65.629,19.6,1,1.0,0.7383,24.1,0.859,0.394,0,0,1,0
37,3,76.9,190.4,171.41,875.0,776.4,144.7,1.026,40,Soft,Lluvia ligera,90.112,14.5,1,1.0,0.8716,21.2,1.127,0.081,1,0,0,1
18,2,68.3,150.9,208.03,563.0,744.5,464.0,0.702,20,Wet,Nublado,72.348,7.0,0,7.0,0.6635,30.0,0.756,0.111,0,0,0,0
32,10,74.3,176.6,95.82,864.0,831.8,215.6,0.681,22,Soft,Nublado,88.586,9.8,1,1.0,0.8653,23.8,1.039,0.312,1,0,0,0
36,17,67.1,192.6,168.19,869.0,674.1,417.8,0.948,36,Soft,Soleado,53.887,20.1,1,1.0,0.6394,18.1,1.289,0.472,1,0,0,0
18,3,73.3,182.1,115.42,700.0,818.5,462.1,0.604,34,Hard,Soleado,76.211,11.1,1,7.0,0.8041,22.1,0.855,0.167,0,0,1,0
34,13,70.5,186.7,173.5,993.0,743.6,288.2,0.702,38,Soft,Lluvia intensa,65.223,15.7,1,1.0,0.7872,20.2,1.335,0.382,1,0,0,1
36,8,70.3,176.6,196.78,954.0,718.2,318.8,0.817,39,Intermediate,Lluvia intensa,63.028,16.1,1,1.0,0.7627,22.5,1.328,0.222,0,0,0,1
31,12,71.5,175.0,155.61,672.0,734.1,405.3,1.099,38,Soft,Nublado,72.47,14.7,1,1.0,0.6612,23.3,0.915,0.387,1,0,0,0
40,13,72.0,168.2,137.84,875.0,703.4,349.2,0.718,22,Intermediate,Nublado,63.958,16.4,1,1.0,0.6737,25.4,1.244,0.325,0,0,0,0
19,18,80.8,164.2,76.38,659.0,778.3,347.7,0.811,19,Hard,Soleado,79.034,6.0,1,1.0,0.7683,30.0,0.847,0.947,0,0,1,0
31,17,74.0,177.6,162.67,769.0,748.3,351.5,0.772,36,Intermediate,Lluvia intensa,68.739,19.3,1,1.0,0.7429,23.5,1.028,0.548,0,0,0,1
24,9,67.9,178.8,158.71,664.0,814.6,331.5,1.039,30,Hard,Nublado,82.765,12.0,1,1.0,0.8225,21.2,0.815,0.375,0,0,1,0
23,11,70.8,171.9,105.79,832.0,690.3,267.4,0.803,29,Soft,Soleado,76.205,11.1,1,1.0,0.7343,24.0,1.205,0.478,1,0,0,0
36,15,63.6,173.5,120.83,685.0,772.4,414.4,1.004,38,Soft,Soleado,75.91,19.1,1,1.0,0.7499,21.1,0.887,0.417,1,0,0,0
27,8,63.8,183.5,122.17,799.0,672.4,488.1,0.909,42,Medium,Nublado,54.923,5.8,1,2.0,0.658,18.9,1.188,0.296,0,1,0,0
34,16,71.9,191.9,104.68,989.0,754.8,318.0,1.103,15,Medium,Nublado,65.537,19.9,1,1.0,0.7181,19.5,1.31,0.471,0,1,0,0
36,17,68.4,180.2,127.11,840.0,799.1,376.6,0.798,39,Medium,Nublado,69.479,18.6,1,1.0,0.8062,21.1,1.051,0.472,0,1,0,0
32,1,72.4,189.1,154.3,823.0,765.7,282.6,0.47,32,Soft,Soleado,77.602,8.8,0,4.0,0.7909,20.2,1.075,0.031,1,0,0,0
37,17,68.3,160.0,225.04,984.0,812.1,355.7,0.7,18,Intermediate,Lluvia ligera,66.306,23.4,1,1.0,0.7732,26.7,1.212,0.459,0,0,0,1
19,7,69.1,188.6,207.56,913.0,728.1,408.6,0.964,43,Soft,Nublado,57.909,11.0,1,1.0,0.744,19.4,1.254,0.368,1,0,0,0
19,13,69.0,173.4,104.64,715.0,756.4,265.2,0.6,19,Soft,Nublado,86.568,16.7,1,1.0,0.7709,22.9,0.945,0.684,1,0,0,0
26,12,81.7,163.3,261.08,928.0,665.4,410.0,0.51,19,Medium,Soleado,53.086,17.5,1,1.0,0.5903,30.6,1.395,0.462,0,1,0,0
35,2,65.7,184.5,158.4,927.0,688.2,342.4,0.514,25,Wet,Soleado,63.672,13.3,0,1.0,0.6527,19.3,1.347,0.057,0,0,0,0
21,4,66.4,188.0,204.89,889.0,859.1,378.6,0.731,44,Soft,Soleado,73.558,12.8,1,1.0,0.8903,18.8,1.035,0.19,1,0,0,0
18,9,64.9,180.4,135.54,898.0,751.1,429.5,0.77,33,Hard,Nublado,57.717,14.5,1,1.0,0.6816,19.9,1.196,0.5,0,0,1,0
30,5,76.1,172.3,147.09,882.0,744.2,370.4,0.79,22,Medium,Nublado,65.637,13.3,1,1.0,0.7554,25.6,1.185,0.167,0,1,0,0
36,8,70.3,177.3,155.15,774.0,649.1,276.6,0.711,44,Medium,Nublado,69.234,15.3,1,1.0,0.7001,22.4,1.192,0.222,0,1,0,0
38,13,77.1,176.6,126.57,846.0,679.7,245.3,0.535,33,Wet,Lluvia ligera,71.72,13.1,1,1.0,0.7112,24.7,1.245,0.342,0,0,0,1
25,11,76.0,185.8,194.8,648.0,747.6,387.0,0.839,44,Intermediate,Nublado,75.7,11.9,1,3.0,0.7455,22.0,0.867,0.44,0,0,0,0
39,5,67.8,165.4,258.2,857.0,804.4,147.3,0.706,23,Hard,Soleado,92.575,8.3,1,3.0,0.8387,24.8,1.065,0.128,0,0,1,0
41,5,69.3,167.6,83.14,805.0,742.1,227.4,0.909,34,Medium,Soleado,83.483,9.4,1,4.0,0.7894,24.7,1.085,0.122,0,1,0,0
31,8,65.8,168.8,163.6,933.0,770.2,449.1,0.808,18,Medium,Nublado,53.115,11.1,1,1.0,0.7067,23.1,1.211,0.258,0,1,0,0
35,18,73.7,171.6,161.94,827.0,704.5,293.1,0.797,23,Medium,Lluvia intensa,72.245,13.9,1,1.0,0.7,25.0,1.174,0.514,0,1,0,1
18,5,75.2,178.7,151.17,740.0,780.6,381.6,0.741,44,Medium,Soleado,68.184,10.0,1,2.0,0.7721,23.5,0.948,0.278,0,1,0,0
39,13,73.8,174.9,186.3,865.0,742.7,344.0,0.665,18,Medium,Soleado,65.164,19.1,1,1.0,0.7218,24.1,1.165,0.333,0,1,0,0
30,13,72.9,169.6,52.3,713.0,674.1,366.6,0.749,39,Soft,Soleado,67.294,13.4,1,1.0,0.69,25.3,1.058,0.433,1,0,0,0
26,14,74.3,169.1,134.72,827.0,829.0,319.0,0.719,19,Soft,Nublado,82.738,19.7,1,1.0,0.7872,26.0,0.998,0.538,1,0,0,0
24,7,73.7,177.1,119.58,833.0,776.2,271.2,0.598,30,Hard,Soleado,76.049,13.0,1,1.0,0.7979,23.5,1.073,0.292,0,0,1,0
18,13,68.9,181.7,146.63,858.0,823.6,332.8,0.691,27,Medium,Lluvia intensa,71.034,12.3,1,1.0,0.815,20.9,1.042,0.722,0,1,0,1
26,5,65.0,175.6,123.49,752.0,719.0,270.5,1.194,16,Medium,Soleado,81.666,7.7,0,1.0,0.7397,21.1,1.046,0.192,0,1,0,0
32,9,67.3,183.4,214.99,920.0,819.2,387.8,0.635,27,Soft,Lluvia ligera,65.751,17.9,1,1.0,0.7253,20.0,1.123,0.281,1,0,0,1
35,10,71.0,171.6,163.93,790.0,726.2,505.4,0.851,19,Wet,Nublado,49.894,14.9,1,1.0,0.6097,24.1,1.088,0.286,0,0,0,0
27,8,61.6,158.7,187.56,922.0,785.8,363.9,0.691,28,Wet,Soleado,66.475,12.0,1,1.0,0.7428,24.5,1.173,0.296,0,0,0,0
22,14,71.2,164.7,144.94,753.0,754.9,304.5,0.704,18,Wet,Soleado,78.029,15.9,1,1.0,0.7537,26.2,0.997,0.636,0,0,0,0
32,15,66.4,169.0,182.85,731.0,773.3,367.3,1.156,20,Soft,Soleado,72.813,16.9,1,1.0,0.7336,23.2,0.945,0.469,1,0,0,0
30,13,66.0,175.9,81.72,782.0,714.5,321.6,0.829,33,Intermediate,Nublado,69.973,14.8,1,4.0,0.718,21.3,1.094,0.433,0,0,0,0
35,4,67.5,171.5,112.29,1002.0,644.0,288.1,0.768,43,Wet,Lluvia ligera,63.348,14.0,1,3.0,0.7122,22.9,1.556,0.114,0,0,0,1
37,18,77.2,164.5,158.74,896.0,735.7,270.9,0.331,19,Hard,Nublado,72.803,19.6,1,1.0,0.7163,28.5,1.218,0.486,0,0,1,0
30,9,74.2,166.9,76.04,807.0,775.9,230.9,0.642,24,Intermediate,Soleado,85.46,14.1,1,1.0,0.8035,26.6,1.04,0.3,0,0,0,0
37,7,61.5,168.9,113.69,764.0,618.4,412.4,0.868,40,Hard,Soleado,54.672,13.0,0,1.0,0.5747,21.6,1.235,0.189,0,0,1,0
33,16,63.6,167.7,55.16,726.0,776.0,346.7,0.908,16,Medium,Lluvia ligera,75.768,11.9,1,1.0,0.7449,22.6,0.936,0.485,0,1,0,1
30,4,73.3,175.9,195.24,754.0,754.7,279.8,0.676,41,Medium,Nublado,84.168,17.2,1,1.0,0.787,23.7,0.999,0.133,0,1,0,0
35,19,80.9,169.3,108.5,839.0,753.7,439.7,0.77,31,Wet,Soleado,60.149,17.9,1,1.0,0.7238,28.2,1.113,0.543,0,0,0,0
34,18,74.1,170.0,177.61,594.0,786.1,343.8,0.783,40,Soft,Lluvia intensa,82.805,14.6,1,1.0,0.795,25.6,0.756,0.529,1,0,0,1
20,19,70.4,157.5,144.42,818.0,827.3,333.7,0.621,19,Intermediate,Soleado,78.538,18.2,1,1.0,0.8191,28.4,0.989,0.95,0,0,0,0
28,3,84.1,172.3,190.46,822.0,755.6,423.0,0.892,16,Intermediate,Soleado,58.589,15.0,1,1.0,0.6763,28.3,1.088,0.107,0,0,0,0
34,2,67.9,169.8,197.04,803.0,791.6,410.3,0.603,23,Soft,Lluvia ligera,71.372,8.8,1,1.0,0.7523,23.6,1.014,0.059,1,0,0,1
28,2,67.4,179.5,132.59,916.0,802.4,338.6,0.669,19,Soft,Nublado,68.447,6.3,1,3.0,0.7809,20.9,1.142,0.071,1,0,0,0
34,15,74.5,169.8,149.52,848.0,815.7,332.7,0.868,23,Hard,Nublado,76.681,16.6,1,1.0,0.8082,25.8,1.04,0.441,0,0,1,0
34,6,66.2,169.8,145.07,689.0,815.8,430.5,0.922,29,Soft,Nublado,74.007,14.5,1,1.0,0.7763,23.0,0.845,0.176,1,0,0,0
25,9,76.5,171.1,146.79,718.0,771.9,260.1,0.916,19,Intermediate,Lluvia ligera,85.356,5.1,1,1.0,0.7901,26.1,0.93,0.36,0,0,0,1
30,17,70.6,183.2,225.12,861.0,774.6,366.4,0.782,26,Medium,Soleado,68.755,18.6,1,1.0,0.7341,21.0,1.112,0.567,0,1,0,0
24,14,60.3,174.2,102.58,916.0,793.6,483.9,0.666,39,Soft,Lluvia ligera,56.918,17.6,1,1.0,0.7498,19.9,1.154,0.583,1,0,0,1
24,16,66.9,174.8,207.97,918.0,701.9,359.2,0.962,19,Soft,Soleado,60.138,16.7,1,1.0,0.5988,21.9,1.308,0.667,1,0,0,0
36,6,69.0,165.6,0.32,783.0,770.9,415.7,0.836,40,Hard,Soleado,68.537,13.4,1,4.0,0.7067,25.2,1.016,0.167,0,0,1,0
26,10,66.9,177.8,138.05,748.0,795.6,400.4,0.621,19,Soft,Soleado,73.568,13.5,1,1.0,0.6895,21.2,0.94,0.385,1,0,0,0
29,3,67.8,167.3,217.27,871.0,716.1,214.9,1.138,35,Intermediate,Nublado,75.917,11.2,1,5.0,0.7825,24.2,1.216,0.103,0,0,0,0
24,16,73.2,166.5,113.32,829.0,675.4,419.5,0.622,39,Intermediate,Lluvia ligera,58.155,18.2,1,1.0,0.6627,26.4,1.227,0.667,0,0,0,1
20,10,64.7,184.0,138.46,919.0,772.2,277.8,0.791,27,Intermediate,Soleado,77.006,17.4,1,2.0,0.7679,19.1,1.19,0.5,0,0,0,0
40,19,72.0,176.0,140.64,964.0,780.7,481.9,0.826,38,Soft,Nublado,53.556,16.2,1,1.0,0.7087,23.2,1.235,0.475,1,0,0,0
39,18,68.5,177.5,137.59,806.0,712.7,407.5,0.551,17,Medium,Lluvia ligera,60.838,16.3,1,1.0,0.6337,21.7,1.131,0.462,0,1,0,1
38,1,63.6,166.7,163.19,1003.0,810.2,199.8,0.94,17,Medium,Lluvia ligera,81.281,8.6,0,1.0,0.8429,22.9,1.238,0.026,0,1,0,1
32,12,71.6,185.5,110.7,1028.0,815.1,475.8,0.893,22,Soft,Soleado,51.441,16.2,1,1.0,0.696,20.8,1.261,0.375,1,0,0,0
30,7,72.2,179.5,137.68,794.0,767.2,494.8,0.882,33,Soft,Soleado,62.441,10.1,1,1.0,0.6985,22.4,1.035,0.233,1,0,0,0
22,4,75.0,181.4,203.04,825.0,796.3,225.1,0.881,39,Wet,Nublado,86.701,19.9,1,11.0,0.8322,22.8,1.036,0.182,0,0,0,0
41,18,74.1,178.6,243.77,745.0,770.2,317.7,0.441,25,Soft,Soleado,78.439,15.9,1,1.0,0.7743,23.2,0.967,0.439,1,0,0,0
29,10,71.2,176.3,145.15,924.0,693.9,282.5,0.806,37,Hard,Nublado,70.81,13.3,1,1.0,0.7091,22.9,1.332,0.345,0,0,1,0
40,4,71.4,174.4,128.93,972.0,659.0,418.2,0.634,32,Medium,Lluvia ligera,46.092,10.6,1,1.0,0.6071,23.5,1.475,0.1,0,1,0,1
41,12,62.5,161.5,156.83,1038.0,673.8,311.0,0.739,25,Medium,Nublado,62.149,16.7,1,1.0,0.6491,24.0,1.541,0.293,0,1,0,0
21,8,71.5,176.8,97.27,912.0,777.3,306.6,0.716,20,Soft,Soleado,72.999,10.7,1,3.0,0.7833,22.9,1.173,0.381,1,0,0,0
28,8,62.8,172.9,149.28,967.0,816.8,368.5,0.538,20,Medium,Soleado,66.092,15.1,1,1.0,0.7802,21.0,1.184,0.286,0,1,0,0
31,5,73.5,193.2,125.12,903.0,662.8,325.7,0.561,16,Intermediate,Nublado,60.625,9.0,1,5.0,0.6401,19.7,1.362,0.161,0,0,0,0
21,2,66.2,180.0,160.42,910.0,811.1,358.3,0.788,30,Medium,Soleado,69.978,6.5,0,4.0,0.8138,20.4,1.122,0.095,0,1,0,0
37,3,72.8,168.7,148.95,694.0,801.2,358.9,0.748,35,Hard,Soleado,78.163,8.2,1,1.0,0.7649,25.6,0.866,0.081,0,0,1,0
25,6,66.8,184.2,111.18,909.0,741.7,262.9,1.011,26,Hard,Nublado,72.075,11.2,1,4.0,0.7606,19.7,1.226,0.24,0,0,1,0
37,11,70.3,184.0,101.92,1173.0,768.2,324.7,0.678,21,Soft,Lluvia ligera,55.762,21.9,1,1.0,0.7449,20.8,1.527,0.297,1,0,0,1
41,6,71.3,176.4,232.45,886.0,715.7,471.9,0.903,24,Medium,Nublado,52.02,18.4,1,1.0,0.6597,22.9,1.238,0.146,0,1,0,0
24,13,65.6,170.2,163.04,886.0,782.8,405.4,0.562,16,Soft,Soleado,60.207,20.3,1,1.0,0.7242,22.6,1.132,0.542,1,0,0,0
38,4,72.0,179.0,140.08,852.0,675.8,345.3,0.738,35,Soft,Soleado,62.331,10.4,1,8.0,0.6664,22.5,1.261,0.105,1,0,0,0
23,4,77.3,168.0,183.2,928.0,712.0,375.7,0.588,36,Soft,Soleado,55.394,16.5,1,1.0,0.7174,27.4,1.303,0.174,1,0,0,0
38,4,70.3,167.6,102.91,730.0,766.3,366.8,0.816,21,Hard,Soleado,74.217,5.6,1,7.0,0.7113,25.0,0.953,0.105,0,0,1,0
24,9,63.9,174.2,178.72,817.0,768.8,342.8,0.873,32,Soft,Nublado,73.167,16.0,1,1.0,0.7774,21.1,1.063,0.375,1,0,0,0
33,1,71.8,173.8,150.85,879.0,746.5,367.5,0.535,41,Hard,Nublado,65.547,14.1,0,7.0,0.7136,23.8,1.177,0.03,0,0,1,0
35,5,68.3,178.4,126.37,882.0,751.3,373.7,0.779,16,Soft,Nublado,65.949,18.2,1,7.0,0.6729,21.5,1.174,0.143,1,0,0,0
29,14,63.6,187.4,109.72,876.0,807.0,268.8,0.956,29,Wet,Nublado,76.545,10.9,1,1.0,0.807,18.1,1.086,0.483,0,0,0,0
21,9,64.6,155.1,186.1,715.0,632.3,325.4,0.882,28,Hard,Soleado,68.255,9.5,1,1.0,0.6354,26.9,1.131,0.429,0,0,1,0
41,3,78.4,171.8,123.82,600.0,841.4,323.5,0.591,21,Hard,Nublado,89.234,11.2,1,9.0,0.8407,26.6,0.713,0.073,0,0,1,0
41,17,66.0,194.8,199.36,866.0,771.4,469.8,1.043,16,Medium,Soleado,59.926,14.4,1,1.0,0.7178,17.4,1.123,0.415,0,1,0,0
32,6,68.6,184.2,155.88,864.0,785.3,409.4,1.027,36,Soft,Lluvia ligera,62.839,8.6,1,1.0,0.7393,20.2,1.1,0.188,1,0,0,1
30,11,66.2,179.3,166.1,743.0,742.9,341.0,0.784,22,Medium,Lluvia ligera,71.858,9.7,1,1.0,0.6896,20.6,1.0,0.367,0,1,0,1
26,7,66.8,163.1,173.25,906.0,728.5,289.8,0.767,23,Intermediate,Soleado,68.509,11.8,1,1.0,0.699,25.1,1.244,0.269,0,0,0,0
22,8,68.7,174.8,160.96,847.0,734.5,301.9,0.702,20,Hard,Soleado,72.638,8.7,1,1.0,0.7229,22.5,1.153,0.364,0,0,1,0
35,4,70.2,189.0,179.93,897.0,710.2,496.1,0.795,36,Medium,Nublado,46.721,13.3,1,11.0,0.654,19.7,1.263,0.114,0,1,0,0
32,14,69.5,167.9,149.9,853.0,737.5,402.7,0.694,41,Soft,Lluvia ligera,61.968,16.5,1,1.0,0.7188,24.7,1.157,0.438,1,0,0,1
33,13,61.2,168.7,196.84,959.0,732.7,292.6,1.057,24,Medium,Soleado,69.477,18.0,1,1.0,0.7214,21.5,1.309,0.394,0,1,0,0
27,6,69.0,175.8,133.72,972.0,797.8,320.1,0.833,18,Medium,Soleado,68.39,14.9,1,1.0,0.7696,22.3,1.218,0.222,0,1,0,0
21,18,71.1,167.4,138.3,867.0,743.4,391.4,0.726,26,Medium,Soleado,63.189,17.8,1,1.0,0.6996,25.4,1.166,0.857,0,1,0,0
34,5,65.1,178.6,172.1,1021.0,724.9,402.0,0.604,24,Medium,Soleado,50.776,10.1,1,5.0,0.7003,20.4,1.408,0.147,0,1,0,0
18,11,61.3,180.3,92.53,830.0,697.6,498.0,0.934,28,Medium,Soleado,46.698,11.8,1,1.0,0.625,18.9,1.19,0.611,0,1,0,0
29,13,75.2,181.9,104.4,1002.0,737.1,203.9,0.599,34,Intermediate,Soleado,72.645,15.3,1,1.0,0.8011,22.7,1.359,0.448,0,0,0,0
32,9,75.4,178.8,88.08,923.0,711.2,338.1,0.934,32,Soft,Lluvia ligera,63.915,11.5,1,1.0,0.712,23.6,1.298,0.281,1,0,0,1
21,14,62.5,180.5,150.47,702.0,776.0,394.6,0.742,41,Soft,Soleado,70.38,17.7,1,1.0,0.7524,19.2,0.905,0.667,1,0,0,0
19,2,69.5,171.6,83.55,904.0,695.6,330.4,0.892,44,Medium,Soleado,61.663,5.6,0,1.0,0.7034,23.6,1.3,0.105,0,1,0,0
33,15,74.1,173.8,98.25,788.0,695.9,373.7,0.906,29,Medium,Nublado,62.538,13.7,1,1.0,0.6818,24.5,1.132,0.455,0,1,0,0
25,1,69.0,175.3,165.88,871.0,813.6,299.9,1.097,38,Soft,Lluvia ligera,80.079,9.8,1,5.0,0.8501,22.5,1.071,0.04,1,0,0,1
20,19,54.5,180.2,171.77,897.0,756.7,394.7,0.859,25,Hard,Nublado,61.633,18.8,1,1.0,0.7221,16.8,1.185,0.95,0,0,1,0
32,12,78.5,168.4,146.11,880.0,820.4,414.3,0.676,32,Medium,Soleado,67.425,18.6,1,1.0,0.8118,27.7,1.073,0.375,0,1,0,0
38,5,62.0,162.5,157.78,886.0,784.7,489.1,0.507,29,Hard,Soleado,55.013,8.3,1,1.0,0.7151,23.5,1.129,0.132,0,0,1,0
39,4,75.5,172.2,70.97,830.0,690.7,246.5,0.803,29,Hard,Soleado,73.129,11.1,0,1.0,0.7456,25.5,1.202,0.103,0,0,1,0
18,5,70.1,180.7,178.02,796.0,759.0,214.1,0.717,23,Hard,Soleado,87.004,13.4,0,3.0,0.7818,21.5,1.049,0.278,0,0,1,0
41,17,63.8,168.0,144.8,892.0,795.2,264.9,0.726,35,Soft,Soleado,76.977,15.8,1,1.0,0.7954,22.6,1.122,0.415,1,0,0,0
23,2,67.5,173.7,126.88,691.0,818.8,286.3,0.873,33,Intermediate,Lluvia intensa,86.865,9.4,0,1.0,0.871,22.4,0.844,0.087,0,0,0,1
20,5,75.0,165.2,124.41,1007.0,834.4,278.0,0.986,40,Soft,Lluvia intensa,71.572,10.1,1,1.0,0.8973,27.5,1.207,0.25,1,0,0,1
20,15,63.8,186.4,127.21,708.0,719.5,411.0,0.719,25,Soft,Nublado,67.241,14.2,1,1.0,0.6392,18.4,0.984,0.75,1,0,0,0
22,14,66.3,173.5,77.34,953.0,775.8,229.6,0.489,16,Medium,Nublado,77.464,15.8,1,1.0,0.7894,22.0,1.228,0.636,0,1,0,0
36,5,76.9,187.1,131.07,916.0,755.2,342.2,0.664,18,Intermediate,Nublado,62.283,10.4,1,2.0,0.7097,22.0,1.213,0.139,0,0,0,0
25,19,77.5,183.7,156.14,878.0,665.5,276.1,0.544,35,Soft,Soleado,66.528,13.0,1,1.0,0.701,23.0,1.319,0.76,1,0,0,0
34,13,74.2,179.5,243.72,823.0,779.0,408.1,0.972,37,Hard,Soleado,65.489,19.4,1,1.0,0.7302,23.0,1.056,0.382,0,0,1,0
36,17,72.1,171.8,141.9,894.0,768.8,491.3,0.797,41,Medium,Lluvia ligera,52.675,12.6,1,1.0,0.7159,24.4,1.163,0.472,0,1,0,1
20,17,72.9,178.5,164.12,620.0,705.6,363.4,0.623,40,Medium,Lluvia ligera,74.691,18.2,1,1.0,0.6936,22.9,0.879,0.85,0,1,0,1
19,5,66.5,163.6,94.14,887.0,719.7,245.9,0.998,35,Soft,Soleado,75.484,6.1,1,1.0,0.7362,24.8,1.232,0.263,1,0,0,0
36,12,68.0,163.6,151.65,906.0,732.1,352.7,0.805,20,Soft,Soleado,60.951,19.5,1,1.0,0.6706,25.4,1.238,0.333,1,0,0,0
33,6,78.2,182.7,137.08,776.0,765.5,399.7,0.679,33,Hard,Nublado,66.665,11.3,1,2.0,0.726,23.4,1.014,0.182,0,0,1,0
33,15,69.0,166.9,147.59,903.0,659.5,287.1,0.938,38,Medium,Soleado,62.799,16.2,1,1.0,0.6883,24.8,1.369,0.455,0,1,0,0
30,8,71.7,174.4,79.09,899.0,750.8,302.9,0.811,16,Medium,Nublado,67.938,7.6,1,1.0,0.7431,23.6,1.197,0.267,0,1,0,0
32,5,68.9,178.3,65.16,633.0,786.2,349.1,0.805,16,Hard,Soleado,82.899,13.7,1,3.0,0.7311,21.7,0.805,0.156,0,0,1,0
36,10,69.6,166.0,251.94,941.0,760.9,300.8,0.777,39,Medium,Soleado,66.22,11.3,1,1.0,0.7736,25.3,1.237,0.278,0,1,0,0
39,5,67.2,172.9,91.45,818.0,818.9,356.6,1.031,26,Hard,Nublado,74.822,5.9,1,1.0,0.7753,22.5,0.999,0.128,0,0,1,0
25,8,65.5,180.4,125.33,769.0,677.0,251.7,0.904,27,Hard,Nublado,72.725,10.5,1,1.0,0.7034,20.1,1.136,0.32,0,0,1,0
19,8,71.0,188.2,129.89,826.0,760.3,191.1,0.628,27,Medium,Lluvia intensa,86.931,17.9,1,1.0,0.8471,20.0,1.086,0.421,0,1,0,1
